Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Vintage Dachshund Art — Original Illustration Print,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260702_182558_9cc59c/pin_flat.png,Vintage Animal Illustrations,,"A chocolate and tan miniature dachshund gazes softly into the distance, a vintage Kodak Brownie camera resting gently against its chest. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4531433060?utm_source=pinterest&utm_medium=pin&utm_campaign=A_flat,2026-08-23T10:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Border Collie Art — Original Illustration Print,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260703_050002_f579fb/pin_flat.png,Vintage Animal Illustrations,,"A black-and-white Border Collie sits poised in a British Racing Green Mini Cooper Mk1, captured in the elegant simplicity of 1950s automotive charm. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4531873482?utm_source=pinterest&utm_medium=pin&utm_campaign=A_flat,2026-08-23T13:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Cocker Spaniel Art — Original Illustration Print,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260706_050031_c05bb0/pin_flat.png,Vintage Animal Illustrations,,"A buff-colored Cocker Spaniel sits in the passenger seat of a coral-red 1957 Ford Thunderbird, cruising through a serene 1950s American landscape. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538726685?utm_source=pinterest&utm_medium=pin&utm_campaign=A_flat,2026-08-23T22:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Dalmatian Art — Original Illustration Print,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260708_050001_f8366a/pin_flat.png,Vintage Animal Illustrations,,"A Dalmatian with pristine white coat and black spots stands poised beside a gleaming chrome bicycle with vintage bell, embodying mid-century American elegance. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741470?utm_source=pinterest&utm_medium=pin&utm_campaign=A_flat,2026-08-24T01:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Basset Hound Art — Original Illustration Print,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260710_050005_967e55/pin_flat.png,Vintage Animal Illustrations,,"A tri-color basset hound sits beside a vintage red dial telephone, its long ears draped thoughtfully as if awaiting an important call in a hushed, mid-century room. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741568?utm_source=pinterest&utm_medium=pin&utm_campaign=A_flat,2026-08-24T04:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage American Shorthair Art — Original Illustration Print,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260712_050005_c52787/pin_flat.png,Vintage Animal Illustrations,,"A silver tabby American Shorthair rests against a cream-colored 1963 Volkswagen Beetle, bathed in soft afternoon light. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741652?utm_source=pinterest&utm_medium=pin&utm_campaign=A_flat,2026-08-24T07:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Vintage Orange Tabby Cat Art — Original Illustration Print,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260713_050002_52a4b6/pin_flat.png,Vintage Animal Illustrations,,"A marmalade cat drives a pale blue 1962 Triumph Spitfire through a quiet afternoon, embodying understated elegance of a bygone era. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741746?utm_source=pinterest&utm_medium=pin&utm_campaign=A_flat,2026-08-24T10:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Vintage Lop Rabbit Art — Original Illustration Print,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260716_050017_8ef62d/pin_flat.png,Vintage Animal Illustrations,,"A white and grey lop-eared rabbit sits poised before a crimson Dansette record player, bathed in soft, vintage light. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538792417?utm_source=pinterest&utm_medium=pin&utm_campaign=A_flat,2026-08-24T13:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Vintage Raccoon Dog Art — Original Illustration Print,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260723_050031_5eea12/pin_flat.png,Vintage Animal Illustrations,,"A dignified tanuki in grey and brown holds a vintage Sony transistor radio to its ear, its ivory and silver frame catching soft light against a composed, mid-century backdrop. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4542559694?utm_source=pinterest&utm_medium=pin&utm_campaign=A_flat,2026-08-24T22:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Vintage Red Fox Art — Original Illustration Print,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260724_050032_7da8b0/pin_flat.png,Vintage Animal Illustrations,,"A red fox stands poised beside a butter-yellow Citroën 2CV, caught in the understated elegance of a 1950s countryside moment. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4543023042?utm_source=pinterest&utm_medium=pin&utm_campaign=A_flat,2026-08-25T01:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
