Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Vintage Golden Retriever Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260629_171318_3a8fa1/mock_gallery.png,Kids Room Decor,,"A cream-colored golden retriever rests against a 1957 Chevrolet Bel Air in turquoise and white, embodying quiet elegance of mid-century American leisure. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4530346771?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-13T13:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Golden Retriever Art Print for a Quiet Corner,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260629_171318_3a8fa1/mock_living.png,Little Heirlooms,,"Some things are worth keeping. A favourite song, a familiar chair, a friend who never changes. A cream-colored golden retriever rests against a 1957 Chevrolet Bel Air in turquoise and white, embodying quiet elegance of mid-century American leisure. Part of the NUE Little Heirlooms collection — vintage animal art, nostalgic but never faded.",https://www.etsy.com/listing/4530346771?utm_source=pinterest&utm_medium=pin&utm_campaign=C_living,2026-08-17T01:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Golden Retriever Art Print — Gift for Dog Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260629_171318_3a8fa1/mock_study.png,Gift Ideas for New Parents,,"A cream-colored golden retriever rests against a 1957 Chevrolet Bel Air in turquoise and white, embodying quiet elegance of mid-century American leisure. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4530346771?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-20T04:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Dog Art Print | Vintage Dachshund Illustration,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260702_182558_9cc59c/mock_nursery.png,Dog Art Prints,,"A chocolate and tan miniature dachshund gazes softly into the distance, a vintage Kodak Brownie camera resting gently against its chest. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4531433060?utm_source=pinterest&utm_medium=pin&utm_campaign=A_nursery,2026-08-10T22:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Dachshund Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260702_182558_9cc59c/mock_gallery.png,Kids Room Decor,,"A chocolate and tan miniature dachshund gazes softly into the distance, a vintage Kodak Brownie camera resting gently against its chest. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4531433060?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-13T22:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Dachshund Art Print for a Quiet Corner,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260702_182558_9cc59c/mock_living.png,Little Heirlooms,,"Some things are worth keeping. A favourite song, a familiar chair, a friend who never changes. A chocolate and tan miniature dachshund gazes softly into the distance, a vintage Kodak Brownie camera resting gently against its chest. Part of the NUE Little Heirlooms collection — vintage animal art, nostalgic but never faded.",https://www.etsy.com/listing/4531433060?utm_source=pinterest&utm_medium=pin&utm_campaign=C_living,2026-08-17T04:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Dachshund Art Print — Gift for Dog Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260702_182558_9cc59c/mock_study.png,Gift Ideas for New Parents,,"A chocolate and tan miniature dachshund gazes softly into the distance, a vintage Kodak Brownie camera resting gently against its chest. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4531433060?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-20T07:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Dog Art Print | Vintage Border Collie Illustration,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260703_050002_f579fb/mock_nursery.png,Dog Art Prints,,"A black-and-white Border Collie sits poised in a British Racing Green Mini Cooper Mk1, captured in the elegant simplicity of 1950s automotive charm. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4531873482?utm_source=pinterest&utm_medium=pin&utm_campaign=A_nursery,2026-08-11T01:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Border Collie Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260703_050002_f579fb/mock_gallery.png,Kids Room Decor,,"A black-and-white Border Collie sits poised in a British Racing Green Mini Cooper Mk1, captured in the elegant simplicity of 1950s automotive charm. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4531873482?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-14T01:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Border Collie Art Print for a Quiet Corner,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260703_050002_f579fb/mock_living.png,Little Heirlooms,,"Some things are worth keeping. A favourite song, a familiar chair, a friend who never changes. A black-and-white Border Collie sits poised in a British Racing Green Mini Cooper Mk1, captured in the elegant simplicity of 1950s automotive charm. Part of the NUE Little Heirlooms collection — vintage animal art, nostalgic but never faded.",https://www.etsy.com/listing/4531873482?utm_source=pinterest&utm_medium=pin&utm_campaign=C_living,2026-08-17T07:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Border Collie Art Print — Gift for Dog Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260703_050002_f579fb/mock_study.png,Gift Ideas for New Parents,,"A black-and-white Border Collie sits poised in a British Racing Green Mini Cooper Mk1, captured in the elegant simplicity of 1950s automotive charm. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4531873482?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-20T10:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Dog Art Print | Vintage Cocker Spaniel Illustration,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260706_050031_c05bb0/mock_nursery.png,Dog Art Prints,,"A buff-colored Cocker Spaniel sits in the passenger seat of a coral-red 1957 Ford Thunderbird, cruising through a serene 1950s American landscape. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538726685?utm_source=pinterest&utm_medium=pin&utm_campaign=A_nursery,2026-08-11T04:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Cocker Spaniel Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260706_050031_c05bb0/mock_gallery.png,Kids Room Decor,,"A buff-colored Cocker Spaniel sits in the passenger seat of a coral-red 1957 Ford Thunderbird, cruising through a serene 1950s American landscape. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538726685?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-14T04:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Cocker Spaniel Art Print for a Quiet Corner,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260706_050031_c05bb0/mock_living.png,Little Heirlooms,,"Some things are worth keeping. A favourite song, a familiar chair, a friend who never changes. A buff-colored Cocker Spaniel sits in the passenger seat of a coral-red 1957 Ford Thunderbird, cruising through a serene 1950s American landscape. Part of the NUE Little Heirlooms collection — vintage animal art, nostalgic but never faded.",https://www.etsy.com/listing/4538726685?utm_source=pinterest&utm_medium=pin&utm_campaign=C_living,2026-08-17T10:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Cocker Spaniel Art Print — Gift for Dog Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260706_050031_c05bb0/mock_study.png,Gift Ideas for New Parents,,"A buff-colored Cocker Spaniel sits in the passenger seat of a coral-red 1957 Ford Thunderbird, cruising through a serene 1950s American landscape. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538726685?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-20T13:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Dog Art Print | Vintage Dalmatian Illustration,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260708_050001_f8366a/mock_nursery.png,Dog Art Prints,,"A Dalmatian with pristine white coat and black spots stands poised beside a gleaming chrome bicycle with vintage bell, embodying mid-century American elegance. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741470?utm_source=pinterest&utm_medium=pin&utm_campaign=A_nursery,2026-08-11T07:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Dalmatian Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260708_050001_f8366a/mock_gallery.png,Kids Room Decor,,"A Dalmatian with pristine white coat and black spots stands poised beside a gleaming chrome bicycle with vintage bell, embodying mid-century American elegance. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741470?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-14T07:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Dalmatian Art Print for a Quiet Corner,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260708_050001_f8366a/mock_living.png,Little Heirlooms,,"Some things are worth keeping. A favourite song, a familiar chair, a friend who never changes. A Dalmatian with pristine white coat and black spots stands poised beside a gleaming chrome bicycle with vintage bell, embodying mid-century American elegance. Part of the NUE Little Heirlooms collection — vintage animal art, nostalgic but never faded.",https://www.etsy.com/listing/4538741470?utm_source=pinterest&utm_medium=pin&utm_campaign=C_living,2026-08-17T13:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Dalmatian Art Print — Gift for Dog Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260708_050001_f8366a/mock_study.png,Gift Ideas for New Parents,,"A Dalmatian with pristine white coat and black spots stands poised beside a gleaming chrome bicycle with vintage bell, embodying mid-century American elegance. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741470?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-20T22:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Dog Art Print | Vintage Basset Hound Illustration,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260710_050005_967e55/mock_nursery.png,Dog Art Prints,,"A tri-color basset hound sits beside a vintage red dial telephone, its long ears draped thoughtfully as if awaiting an important call in a hushed, mid-century room. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741568?utm_source=pinterest&utm_medium=pin&utm_campaign=A_nursery,2026-08-11T10:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Basset Hound Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260710_050005_967e55/mock_gallery.png,Kids Room Decor,,"A tri-color basset hound sits beside a vintage red dial telephone, its long ears draped thoughtfully as if awaiting an important call in a hushed, mid-century room. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741568?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-14T10:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage Basset Hound Art Print for a Quiet Corner,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260710_050005_967e55/mock_living.png,Little Heirlooms,,"Some things are worth keeping. A favourite song, a familiar chair, a friend who never changes. A tri-color basset hound sits beside a vintage red dial telephone, its long ears draped thoughtfully as if awaiting an important call in a hushed, mid-century room. Part of the NUE Little Heirlooms collection — vintage animal art, nostalgic but never faded.",https://www.etsy.com/listing/4538741568?utm_source=pinterest&utm_medium=pin&utm_campaign=C_living,2026-08-17T22:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
